Gene stable ID,Gene name
ENSG00000210049,MT-TF
ENSG00000211459,MT-RNR1
ENSG00000210077,MT-TV
ENSG00000210082,MT-RNR2
ENSG00000209082,MT-TL1
ENSG00000198888,MT-ND1
ENSG00000210100,MT-TI
ENSG00000210107,MT-TQ
ENSG00000210112,MT-TM
ENSG00000198763,MT-ND2
ENSG00000210117,MT-TW
ENSG00000210127,MT-TA
ENSG00000210135,MT-TN
ENSG00000210140,MT-TC
ENSG00000210144,MT-TY
ENSG00000198804,MT-CO1
ENSG00000210151,MT-TS1
ENSG00000210154,MT-TD
ENSG00000198712,MT-CO2
ENSG00000210156,MT-TK
ENSG00000228253,MT-ATP8
ENSG00000198899,MT-ATP6
ENSG00000198938,MT-CO3
ENSG00000210164,MT-TG
ENSG00000198840,MT-ND3
ENSG00000210174,MT-TR
ENSG00000212907,MT-ND4L
ENSG00000198886,MT-ND4
ENSG00000210176,MT-TH
ENSG00000210184,MT-TS2
ENSG00000210191,MT-TL2
ENSG00000198786,MT-ND5
ENSG00000198695,MT-ND6
ENSG00000210194,MT-TE
ENSG00000198727,MT-CYB
ENSG00000210195,MT-TT
ENSG00000210196,MT-TP
